Date,Dividends
2021-04-05 00:00:00-04:00,0.9
2021-07-02 00:00:00-04:00,0.9
2021-10-05 00:00:00-04:00,1.0
2022-01-05 00:00:00-05:00,1.0
2022-04-05 00:00:00-04:00,1.0
2022-07-05 00:00:00-04:00,1.0
2022-10-05 00:00:00-04:00,1.0
2023-01-05 00:00:00-05:00,1.0
2023-04-05 00:00:00-04:00,1.0
2023-07-05 00:00:00-04:00,1.0
2023-10-05 00:00:00-04:00,1.05
2024-01-04 00:00:00-05:00,1.05
2024-04-04 00:00:00-04:00,1.15
2024-07-05 00:00:00-04:00,1.15
2024-10-04 00:00:00-04:00,1.25
2025-01-06 00:00:00-05:00,1.25
2025-04-04 00:00:00-04:00,1.4
2025-07-03 00:00:00-04:00,1.4
2025-10-06 00:00:00-04:00,1.5
